City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Salihorsk,BY,52.7876,27.5415,47.71,84,100,20.38,overcast clouds
322,Polewali,ID,-3.4324,119.3435,84.24,73,100,2.1,overcast clouds
323,Tarabuco,BO,-19.1667,-64.9167,49.32,70,40,5.01,scattered clouds
324,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,74,95,19.62,overcast clouds
325,Tuatapere,NZ,-46.1333,167.6833,55.53,96,100,1.28,light rain
326,Severo-Kurilsk,RU,50.6789,156.125,36.05,98,99,16.08,light rain
327,Russell,US,32.3502,-85.1999,54.63,62,1,0.0,clear sky
328,Hun,LY,29.1268,15.9477,57.27,73,56,2.75,broken clouds
329,Esso,RU,55.9333,158.7,25.03,92,99,15.3,light snow
330,Miles City,US,46.4083,-105.8406,40.17,65,1,6.91,clear sky
331,Ojhar,IN,20.1,73.9333,71.53,82,95,9.1,overcast clouds
332,Roma,US,43.2128,-75.4557,42.66,79,1,5.75,clear sky
333,Balkhash,KZ,46.844,74.9804,11.01,79,75,11.18,broken clouds
334,Manzhouli,CN,49.6,117.4333,17.2,82,100,11.1,overcast clouds
335,Ouesso,CG,1.6136,16.0517,69.46,99,94,2.62,moderate rain
336,Zaykovo,RU,57.5613,62.7568,24.37,91,100,11.5,overcast clouds
337,Izmaylovo,RU,53.7211,47.2458,31.24,93,100,16.55,light snow
338,Andenes,NO,69.3143,16.1194,31.06,86,40,29.93,light snow
339,Miracema Do Tocantins,BR,-9.5618,-48.3967,75.94,81,45,3.71,scattered clouds
340,Khorramshahr,IR,30.4397,48.1664,75.16,83,75,9.22,mist
341,Sibolga,ID,1.7427,98.7792,77.25,92,100,0.69,overcast clouds
342,Mehamn,NO,71.0357,27.8492,28.81,58,100,23.26,light snow
